Company,Email address,Phone number,Location,# Employees,Industry & Keywords,Buying Intent,Technologies,Revenue,Funding,Job Postings
International Sailing School MTÜ,secure.dkarpak@gmail.com,+372 56794564,"Harju maakond, Tallinn, Lasnamäe linnaosa, Kivila tn 5-125, 13917
                            ",,,,,,,
International Yoga School OÜ,,,,,,,,,,
Inventum International Online School OÜ,ksorjonen.isftrust@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Rännaku pst 12, 10917
                            ",,,,,,,
ITAE Business School OÜ,anunez@itae.es,+51 952388495,"Harju maakond, Tallinn, Lasnamäe linnaosa, Sepapaja tn 6, 15551
                            ",,,,,,,
JES - Johnny's English School and Consulting OÜ,johannes@vergi.ee,+372 544177,"Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 106-8, 13513
                            ",,,,,,,
Johannes Vergi JES - John's English School,,,,,,,,,,
Language Link School OÜ,jaanasirel@gmail.com,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Ümera tn 21, 13816
                            ",,,,,,,
Lessonschool OÜ,info@vilumus.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, Marja tn 7, 10617
                            ",,,,,,,
LL SCHOOL OÜ,r.jensky@languagelink.ee,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Oda tn 2-19, 10415
                            ",,,,,,,
Manjeet ArtSchool OÜ,manjeet.artschool@gmail.com,+372 56917005,"Tartu maakond, Peipsiääre vald, Vanaussaia küla, Lassi, 60425
                            ",,,,,,,
New School of Business OÜ,new.school.of.beauty@gmail.com,,"Harju maakond, Tallinn, Mustamäe linnaosa, Ehitajate tee 110, 13517
                            ",,,,,,,
Oldschool OÜ,artur@oldschool.ee,+372 51919474,"Jõgeva maakond, Jõgeva vald, Siimusti alevik, Keraamika tn 6, 48444
                            ",,,,,,,
Only School OÜ,info@avalikkoolitus.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Kiisa tn 8, 11313
                            ",,,,,,,
Padel School OÜ,oskar.hakonen@gmail.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Käolina tn 7, 10915
                            ",,,,,,,
Mittetulundusühing Parent Council of Tallinn European School,pc@est.edu.ee,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tehnika tn 18, 10149
                            ",,,,,,,
PE School OÜ,info@pingusenglish.ee,+372 58552700,"Harju maakond, Tallinn, Kesklinna linnaosa, Roseni tn 12-122, 10111
                            ",,,,,,,
PE School Pärnu OÜ,natalia.sutormina@gmail.com,+372 58864600,"Pärnu maakond, Pärnu linn, Lõuka küla, Nautsi, 88111
                            ",,,,,,,
PE School Viimsi OÜ,nadezhda.kleptsova@gmail.com,,"Harju maakond, Viimsi vald, Haabneeme alevik, Randvere tee 9, 74001
                            ",,,,,,,
ProjectEternity OÜ,sacharya@innovationcharter.org,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
Reval Eesti OÜ,,,,,,,,,,
Rome Language School OÜ,Hello@RomeLanguageServices.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 67/1-13b, 10115
                            ",,,,,,,
sapori school OÜ,vlad.placinta01@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
Schbot Robotics OÜ,info@polti.ee,,"Harju maakond, Tallinn, Kristiine linnaosa, A. H. Tammsaare tee 47, 11316
                            ",,,,,,,
Schoolfice OÜ,pille.paur@gmail.com,+372 56903070,"Harju maakond, Saue vald, Saue linn, Kadakamarja tn 21/2-7, 76506
                            ",,,,,,,
School Furniture Trade OÜ,sft@balticom.ee,+372 5018853,"Harju maakond, Viimsi vald, Muuga küla, Vilja tn 5, 74115
                            ",,,,,,,
SchoolHero.io OÜ,admin@schoolhero.io,,"Harju maakond, Kuusalu vald, Pudisoo küla, Männimäe, 74626
                            ",,,,,,,
Schoolify Holding OÜ,info@schoolify.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/1, 11415
                            ",,,,,,,
Schoolify OÜ,info@schoolify.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Valukoja tn 8/1, 11415
                            ",,,,,,,
schoollive OÜ,harikrishnan.gopal.janakiraman@eesti.ee,,"Harju maakond, Tallinn, Kesklinna linnaosa, Tartu mnt 67/1-13b, 10115
                            ",,,,,,,
SchoolOS.eu OÜ,info@ansonbaer.com,,"Harju maakond, Tallinn, Nõmme linnaosa, Pärnu mnt 187-3, 11624
                            ",,,,,,,
OÜ School Supply,reneounapuu@gmail.com,,"Harju maakond, Kiili vald, Vaela küla, Peetri tee 4-7, 75413
                            ",,,,,,,
Speedlearning International School OÜ,info@speedlearning.academy,,"Harju maakond, Tallinn, Kesklinna linnaosa, Viru väljak 2, 10111
                            ",,,,,,,
Tallinn International School OÜ,info@ist.ee,,"Harju maakond, Tallinn, Lasnamäe linnaosa, Keevise tn 2, 11415
                            ",,,,,,,
Mittetulundusühing Tartu International School,info@istartu.ee,,"Tartu maakond, Tartu linn, Tartu linn, J. Liivi tn 2d, 50409
                            ",,,,,,,
The Speaking Cats Online Language School TSCOLS OÜ,info@thespeakingcats.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Sakala tn 7-2, 10141
                            ",,,,,,,
Tomson top model school OÜ,Diana.haprova@gmail.com,,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 50, 10152
                            ",,,,,,,
Unschooler OÜ,info@unschooler.me,,"Harju maakond, Tallinn, Kesklinna linnaosa, Ahtri tn 12, 15551
                            ",,,,,,,
UPSchool EST MTÜ,tege.lane@mail.ee,,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Tuulemaa tn 15, 10312
                            ",,,,,,,
Mittetulundusühing Vahva Kool - Cool School,,,,,,,,,,
VASILYEV SCHOOL OÜ,,,,,,,,,,
WestLine School OÜ,westline.dentalclinic@gmail.com,,"Harju maakond, Tallinn, Kristiine linnaosa, Kotkapoja tn 2a, 10615
                            ",,,,,,,
Õnneleid Holding OÜ,12179524@eesti.ee,+372 5076405,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 22b-1, 51010
                            ",,,,,,,
